timestamp,ambient_light,backscatter,pressure,water_temp,battery,sensor
2023-09-14 21:58:44,10,45993,8426,1845,391,305
2023-09-14 22:03:44,10,46003,8421,1844,392,305
2023-09-14 22:08:44,9,45857,8426,1843,390,305
2023-09-14 22:13:44,10,45375,8427,1843,391,305
2023-09-14 22:18:44,11,45314,8426,1843,391,305
2023-09-14 22:23:44,10,45534,8428,1843,390,305
2023-09-14 22:28:44,10,45582,8428,1843,392,305
2023-09-14 22:33:44,9,45189,8428,1843,392,305
2023-09-14 22:38:44,9,45205,8423,1843,392,305
2023-09-14 22:43:44,10,45348,8426,1842,391,305
2023-09-14 22:48:44,9,45239,8426,1841,392,305
2023-09-14 22:53:44,10,45226,8425,1840,391,305
2023-09-14 22:58:44,9,45301,8423,1840,392,305
2023-09-14 23:03:44,10,45406,8424,1839,391,305
2023-09-14 23:08:44,9,45212,8422,1837,391,305
2023-09-14 23:13:44,11,45166,8420,1837,391,305
2023-09-14 23:18:44,10,45248,8427,1837,392,305
2023-09-14 23:23:44,9,45148,8425,1835,391,305
2023-09-14 23:28:44,9,45194,8424,1833,392,305
2023-09-14 23:33:44,10,45594,8421,1832,392,305
2023-09-14 23:38:44,9,45363,8423,1831,390,305
2023-09-14 23:43:44,9,45218,8425,1829,393,305
2023-09-14 23:48:44,11,45271,8424,1829,393,305
2023-09-14 23:53:44,10,45383,8425,1828,393,305
2023-09-14 23:58:44,9,45265,8422,1827,391,305
2023-09-15 00:03:44,10,45340,8423,1826,402,305
2023-09-15 00:08:44,10,45370,8424,1825,393,305
2023-09-15 00:13:44,10,45285,8420,1825,394,305
2023-09-15 00:18:44,10,45486,8421,1825,392,305
2023-09-15 00:23:44,11,45310,8421,1825,391,305
2023-09-15 00:28:44,10,45521,8426,1824,392,305
2023-09-15 00:33:44,9,45393,8424,1824,391,305
2023-09-15 00:38:44,10,46566,8425,1824,392,305
2023-09-15 00:43:44,10,45351,8426,1823,391,305
2023-09-15 00:48:44,10,45363,8421,1821,392,305
2023-09-15 00:53:44,9,45390,8422,1820,393,305
2023-09-15 00:58:44,10,45428,8419,1819,392,305
2023-09-15 01:03:44,11,45494,8423,1817,391,305
2023-09-15 01:08:44,10,45481,8422,1816,392,305
2023-09-15 01:13:44,11,45382,8421,1814,391,305
2023-09-15 01:18:44,9,45429,8419,1812,391,305
2023-09-15 01:23:44,10,45467,8419,1812,393,305
2023-09-15 01:28:44,10,45787,8417,1812,392,305
2023-09-15 01:33:44,10,45474,8414,1811,392,305
2023-09-15 01:38:44,10,45491,8417,1811,392,305
2023-09-15 01:43:44,10,45368,8417,1811,393,305
2023-09-15 01:48:44,9,45578,8417,1811,392,305
2023-09-15 01:53:44,11,45356,8420,1811,393,305
2023-09-15 01:58:44,10,45415,8415,1811,392,305
2023-09-15 02:03:44,9,45633,8415,1811,392,305
2023-09-15 02:08:44,9,45421,8411,1811,392,305
2023-09-15 02:13:44,10,45452,8419,1811,391,305
2023-09-15 02:18:44,10,45547,8416,1810,392,305
2023-09-15 02:23:44,10,45507,8412,1810,391,305
2023-09-15 02:28:44,10,45643,8416,1808,391,305
2023-09-15 02:33:44,10,45509,8413,1807,391,305
2023-09-15 02:38:44,8,45514,8414,1806,391,305
2023-09-15 02:43:44,9,45646,8414,1804,391,305
2023-09-15 02:48:44,10,45551,8412,1804,392,305
2023-09-15 02:53:44,9,45607,8411,1803,392,305
2023-09-15 02:58:44,9,45686,8416,1802,392,305
2023-09-15 03:03:44,9,45820,8415,1802,392,305
2023-09-15 03:08:44,11,45573,8414,1801,392,305
2023-09-15 03:13:44,9,45714,8410,1801,392,305
2023-09-15 03:18:44,10,45589,8416,1801,393,305
2023-09-15 03:23:44,10,45666,8413,1801,393,305
2023-09-15 03:28:44,9,45709,8406,1801,392,305
2023-09-15 03:33:44,10,46030,8412,1800,392,305
2023-09-15 03:38:44,9,45582,8410,1800,392,305
2023-09-15 03:43:44,10,45652,8410,1800,391,305
2023-09-15 03:48:44,10,45786,8408,1799,393,305
2023-09-15 03:53:44,10,46146,8409,1798,393,305
2023-09-15 03:58:44,9,45656,8411,1796,393,305
2023-09-15 04:03:44,10,45609,8405,1795,393,305
2023-09-15 04:08:44,9,45831,8413,1794,391,305
